Taxon	Group11	Group12	Group13	Group14	Group15	Group16	Group17	Group18	Group119	Group110	Group111	Group112	Group113	Group114	Group115	Group116	Group117	Group118	Group119	Group120	Group121	Group123	Group124	Group125	Group126	Group127	Group128	Group129	Group21	Group22	Group23	Group24	Group25	Group26	Group27	Group28	Group29	Group210	Group211	Group212	Group213	Group214	Group215	Group216	Group217	Group218	Group219	Group220	Group222	Group224	Group225	Group226	Group227	Group228	Group229	Group230	Group231	Group232
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	313	0	0	6	0	505	39	0	0	0	134	151	0	0	47	10	154	0	9	0	5	0	415	14	108	0	84	111	25	0	27	0	596	181	0	46	9	0	11	0	0	0	390	93	0	466	820	112	0	0	4	634	239	0	0	0	45	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	5105	0	1001	220	0	7	4562	0	582	0	85	0	0	81	282	67	27	61	493	0	0	0	4992	67	594	0	141	40	84	0	2128	0	586	162	0	1519	752	17	2	264	0	0	14	152	542	1690	1207	409	0	94	808	7	791	407	1111	0	2556	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum	836	33	381	16	0	187	102	302	951	0	4634	148	0	11	151	38	249	108	260	17	31	0	496	248	957	0	130	0	3	125	607	2419	174	156	1178	323	264	0	99	40	1343	227	31	23	86	536	2332	667	1131	11	0	915	490	0	833	95	529	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__	19	5	17	24	2	3	57	3	10	0	30	7	0	181	65	38	5	0	500	0	6	0	60	6	33	0	12	3	0	0	214	0	2218	114	17	24	0	41	0	54	0	0	0	95	53	137	0	9	0	4	109	6	96	0	10	0	108	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__	0	17	22	0	6	5	11	3	16	36	0	12	0	0	149	24	0	9	65	0	10	24	16	29	0	0	0	15	6	0	20	0	9	48	8	23	13	136	7	0	0	0	5	13	16	8	0	30	0	0	5	0	5	12	31	14	19	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens	829	158	363	72	0	631	1086	0	296	0	0	0	47	252	920	130	112	37	1509	0	121	0	974	117	380	0	105	0	129	10	1762	0	256	264	761	378	162	29	0	234	0	0	569	137	510	1452	0	0	0	211	450	656	615	1169	0	0	295	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__stercoris	0	0	0	0	0	38	19	0	0	0	0	60	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	5	0	0	0	141	7	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta	0	0	0	0	74	43	0	6	24	50	169	10	0	0	0	5	5	3	45	0	12	24	4	4	3	7	0	3	0	118	0	83	0	4	17	0	0	0	4	0	61	0	29	0	0	0	46	15	21	0	6	6	0	11	30	0	0	8
